,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_marks,average_marks
92,male,group C,high school,standard,none,71,79,71,221,73.66666666666667
93,male,group C,associate's degree,free/reduced,completed,43,45,50,138,46.0
94,female,group B,some college,standard,none,79,86,92,257,85.66666666666667
95,male,group C,associate's degree,free/reduced,completed,78,81,82,241,80.33333333333333
96,male,group B,some high school,standard,completed,65,66,62,193,64.33333333333333
97,female,group E,some college,standard,completed,63,72,70,205,68.33333333333333
98,female,group D,some college,free/reduced,none,58,67,62,187,62.333333333333336
99,female,group D,bachelor's degree,standard,none,65,67,62,194,64.66666666666667
100,male,group B,some college,standard,none,79,67,67,213,71.0
101,male,group D,bachelor's degree,standard,completed,68,74,74,216,72.0
102,female,group D,associate's degree,standard,none,85,91,89,265,88.33333333333333
103,male,group B,high school,standard,completed,60,44,47,151,50.333333333333336
104,male,group C,some college,standard,completed,98,86,90,274,91.33333333333333
105,female,group C,some college,standard,none,58,67,72,197,65.66666666666667
106,female,group D,master's degree,standard,none,87,100,100,287,95.66666666666667
107,male,group E,associate's degree,standard,completed,66,63,64,193,64.33333333333333
108,female,group B,associate's degree,free/reduced,none,52,76,70,198,66.0
109,female,group B,some high school,standard,none,70,64,72,206,68.66666666666667
110,female,group D,associate's degree,free/reduced,completed,77,89,98,264,88.0
111,male,group C,high school,standard,none,62,55,49,166,55.333333333333336
112,male,group A,associate's degree,standard,none,54,53,47,154,51.333333333333336
113,female,group D,some college,standard,none,51,58,54,163,54.333333333333336
114,female,group E,bachelor's degree,standard,completed,99,100,100,299,99.66666666666667
115,male,group C,high school,standard,none,84,77,74,235,78.33333333333333
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,242,80.66666666666667
117,female,group D,bachelor's degree,standard,none,78,82,79,239,79.66666666666667
118,female,group D,some high school,standard,none,51,63,61,175,58.333333333333336
119,female,group C,some college,standard,none,55,69,65,189,63.0
120,female,group C,bachelor's degree,standard,completed,79,92,89,260,86.66666666666667
121,male,group B,associate's degree,standard,completed,91,89,92,272,90.66666666666667
122,female,group C,some college,standard,completed,88,93,93,274,91.33333333333333
123,male,group D,high school,free/reduced,none,63,57,56,176,58.666666666666664
124,male,group E,some college,standard,none,83,80,73,236,78.66666666666667
125,female,group B,high school,standard,none,87,95,86,268,89.33333333333333
126,male,group B,some high school,standard,none,72,68,67,207,69.0
127,male,group D,some college,standard,completed,65,77,74,216,72.0
128,male,group D,master's degree,standard,none,82,82,74,238,79.33333333333333
129,female,group A,bachelor's degree,standard,none,51,49,51,151,50.333333333333336
130,male,group D,master's degree,standard,none,89,84,82,255,85.0
131,male,group C,some high school,free/reduced,completed,53,37,40,130,43.333333333333336
132,male,group E,some college,free/reduced,completed,87,74,70,231,77.0
133,female,group C,some college,standard,completed,75,81,84,240,80.0
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,76.0
135,male,group C,bachelor's degree,standard,none,58,55,48,161,53.666666666666664
136,male,group B,some high school,standard,completed,51,54,41,146,48.666666666666664
137,male,group E,high school,standard,none,70,55,56,181,60.333333333333336
138,female,group C,associate's degree,standard,none,59,66,67,192,64.0
139,male,group D,some college,standard,completed,71,61,69,201,67.0
140,female,group D,some high school,standard,none,76,72,71,219,73.0
141,female,group C,some college,free/reduced,none,59,62,64,185,61.666666666666664
142,female,group E,some college,free/reduced,completed,42,55,54,151,50.333333333333336
143,male,group A,high school,standard,none,57,43,47,147,49.0
144,male,group D,some college,standard,none,88,73,78,239,79.66666666666667
145,female,group C,some college,free/reduced,none,22,39,33,94,31.333333333333332
146,male,group B,some high school,standard,none,88,84,75,247,82.33333333333333
147,male,group C,associate's degree,free/reduced,none,73,68,66,207,69.0
148,female,group D,bachelor's degree,standard,completed,68,75,81,224,74.66666666666667
149,male,group E,associate's degree,free/reduced,completed,100,100,93,293,97.66666666666667
150,male,group A,some high school,standard,completed,62,67,69,198,66.0
151,male,group A,bachelor's degree,standard,none,77,67,68,212,70.66666666666667
152,female,group B,associate's degree,standard,completed,59,70,66,195,65.0
153,male,group D,bachelor's degree,standard,none,54,49,47,150,50.0
154,male,group D,some high school,standard,none,62,67,61,190,63.333333333333336
155,female,group C,some college,standard,completed,70,89,88,247,82.33333333333333
156,female,group E,high school,free/reduced,completed,66,74,78,218,72.66666666666667
157,male,group B,some college,free/reduced,none,60,60,60,180,60.0
158,female,group B,associate's degree,standard,completed,61,86,87,234,78.0
159,male,group D,associate's degree,free/reduced,none,66,62,64,192,64.0
160,male,group B,associate's degree,free/reduced,completed,82,78,74,234,78.0
161,female,group E,some college,free/reduced,completed,75,88,85,248,82.66666666666667
162,male,group B,master's degree,free/reduced,none,49,53,52,154,51.333333333333336
163,male,group C,high school,standard,none,52,53,49,154,51.333333333333336
164,female,group E,master's degree,standard,none,81,92,91,264,88.0
165,female,group C,bachelor's degree,standard,completed,96,100,100,296,98.66666666666667
166,male,group C,high school,free/reduced,completed,53,51,51,155,51.666666666666664
167,female,group B,master's degree,free/reduced,completed,58,76,78,212,70.66666666666667
168,female,group B,high school,standard,completed,68,83,78,229,76.33333333333333
169,female,group C,some college,free/reduced,completed,67,75,70,212,70.66666666666667
170,male,group A,high school,standard,completed,72,73,74,219,73.0
171,male,group E,some high school,standard,none,94,88,78,260,86.66666666666667
172,female,group D,some college,standard,none,79,86,81,246,82.0
173,female,group C,associate's degree,standard,none,63,67,70,200,66.66666666666667
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,49.333333333333336
175,female,group C,master's degree,standard,completed,81,91,87,259,86.33333333333333
176,female,group B,high school,free/reduced,completed,46,54,58,158,52.666666666666664
177,female,group C,associate's degree,standard,completed,71,77,77,225,75.0
178,female,group B,master's degree,free/reduced,completed,52,70,62,184,61.333333333333336
179,female,group D,some high school,standard,completed,97,100,100,297,99.0
180,male,group C,master's degree,free/reduced,completed,62,68,75,205,68.33333333333333
181,female,group C,some college,free/reduced,none,46,64,66,176,58.666666666666664
182,female,group E,high school,standard,none,50,50,47,147,49.0
183,female,group D,associate's degree,standard,none,65,69,70,204,68.0
184,male,group C,some high school,free/reduced,completed,45,52,49,146,48.666666666666664
185,male,group C,associate's degree,free/reduced,completed,65,67,65,197,65.66666666666667
186,male,group E,high school,standard,none,80,76,65,221,73.66666666666667
187,male,group D,some high school,standard,completed,62,66,68,196,65.33333333333333
188,male,group B,some high school,free/reduced,none,48,52,45,145,48.333333333333336
189,female,group C,bachelor's degree,standard,none,77,88,87,252,84.0
190,female,group E,associate's degree,standard,none,66,65,69,200,66.66666666666667
191,male,group D,some college,standard,completed,76,83,79,238,79.33333333333333
192,female,group B,some high school,standard,none,62,64,66,192,64.0
193,male,group D,some college,standard,completed,77,62,62,201,67.0
194,female,group C,master's degree,standard,completed,69,84,85,238,79.33333333333333
195,male,group D,associate's degree,standard,none,61,55,52,168,56.0
196,male,group C,some high school,free/reduced,completed,59,69,65,193,64.33333333333333
197,male,group E,high school,free/reduced,none,55,56,51,162,54.0
198,female,group B,some college,free/reduced,none,45,53,55,153,51.0
199,female,group B,bachelor's degree,free/reduced,none,78,79,76,233,77.66666666666667
200,female,group C,associate's degree,standard,completed,67,84,86,237,79.0
201,female,group D,some college,free/reduced,none,65,81,77,223,74.33333333333333
202,male,group C,associate's degree,standard,none,69,77,69,215,71.66666666666667
203,female,group B,associate's degree,standard,none,57,69,68,194,64.66666666666667
204,male,group C,some college,standard,none,59,41,42,142,47.333333333333336
205,male,group D,some high school,standard,completed,74,71,78,223,74.33333333333333
206,male,group E,bachelor's degree,standard,none,82,62,62,206,68.66666666666667
207,male,group E,high school,standard,completed,81,80,76,237,79.0
208,female,group B,some college,free/reduced,none,74,81,76,231,77.0
209,female,group B,some college,free/reduced,none,58,61,66,185,61.666666666666664
210,male,group D,some high school,free/reduced,completed,80,79,79,238,79.33333333333333
211,male,group C,some college,free/reduced,none,35,28,27,90,30.0
212,female,group C,high school,free/reduced,none,42,62,60,164,54.666666666666664
213,male,group C,associate's degree,free/reduced,completed,60,51,56,167,55.666666666666664
214,male,group E,high school,standard,completed,87,91,81,259,86.33333333333333
215,male,group B,some high school,standard,completed,84,83,75,242,80.66666666666667
216,female,group E,associate's degree,free/reduced,completed,83,86,88,257,85.66666666666667
217,female,group C,high school,free/reduced,none,34,42,39,115,38.333333333333336
218,male,group B,high school,free/reduced,none,66,77,70,213,71.0
219,male,group B,some high school,standard,completed,61,56,56,173,57.666666666666664
220,female,group D,high school,standard,completed,56,68,74,198,66.0
221,male,group B,associate's degree,standard,none,87,85,73,245,81.66666666666667
222,female,group C,some high school,free/reduced,none,55,65,62,182,60.666666666666664
223,male,group D,some high school,standard,none,86,80,75,241,80.33333333333333
224,female,group B,associate's degree,standard,completed,52,66,73,191,63.666666666666664
225,female,group E,master's degree,free/reduced,none,45,56,54,155,51.666666666666664
226,female,group C,some college,standard,none,72,72,71,215,71.66666666666667
227,male,group D,high school,standard,none,57,50,54,161,53.666666666666664
228,male,group A,some high school,free/reduced,none,68,72,64,204,68.0
229,female,group C,some college,standard,completed,88,95,94,277,92.33333333333333
230,male,group D,some college,standard,none,76,64,66,206,68.66666666666667
231,male,group C,associate's degree,standard,none,46,43,42,131,43.666666666666664
232,female,group B,bachelor's degree,standard,none,67,86,83,236,78.66666666666667
233,male,group E,some high school,standard,none,92,87,78,257,85.66666666666667
234,male,group C,bachelor's degree,standard,completed,83,82,84,249,83.0
235,male,group D,associate's degree,standard,none,80,75,77,232,77.33333333333333
236,male,group D,bachelor's degree,free/reduced,none,63,66,67,196,65.33333333333333
237,female,group D,some high school,standard,completed,64,60,74,198,66.0
238,male,group B,some college,standard,none,54,52,51,157,52.333333333333336
239,male,group C,associate's degree,standard,none,84,80,80,244,81.33333333333333
240,male,group D,high school,free/reduced,completed,73,68,66,207,69.0
241,female,group E,bachelor's degree,standard,none,80,83,83,246,82.0
242,female,group D,high school,standard,none,56,52,55,163,54.333333333333336
243,male,group E,some college,standard,none,59,51,43,153,51.0
244,male,group D,some high school,standard,none,75,74,69,218,72.66666666666667
245,male,group C,associate's degree,standard,none,85,76,71,232,77.33333333333333
246,male,group E,associate's degree,standard,none,89,76,74,239,79.66666666666667
247,female,group B,high school,standard,completed,58,70,68,196,65.33333333333333
248,female,group B,high school,standard,none,65,64,62,191,63.666666666666664
249,male,group C,high school,standard,none,68,60,53,181,60.333333333333336
250,male,group A,some high school,standard,completed,47,49,49,145,48.333333333333336
251,female,group D,some college,free/reduced,none,71,83,83,237,79.0
252,female,group B,some high school,standard,completed,60,70,70,200,66.66666666666667
253,male,group D,master's degree,standard,none,80,80,72,232,77.33333333333333
254,male,group D,high school,standard,none,54,52,52,158,52.666666666666664
255,female,group E,some college,standard,none,62,73,70,205,68.33333333333333
256,female,group C,associate's degree,free/reduced,none,64,73,68,205,68.33333333333333
257,male,group C,associate's degree,standard,completed,78,77,77,232,77.33333333333333
258,female,group B,some college,standard,none,70,75,78,223,74.33333333333333
259,female,group C,master's degree,free/reduced,completed,65,81,81,227,75.66666666666667
260,female,group C,some high school,free/reduced,completed,64,79,77,220,73.33333333333333
261,male,group C,some college,standard,completed,79,79,78,236,78.66666666666667
262,female,group C,some high school,free/reduced,none,44,50,51,145,48.333333333333336
263,female,group E,high school,standard,none,99,93,90,282,94.0
264,male,group D,high school,standard,none,76,73,68,217,72.33333333333333
265,male,group D,some high school,free/reduced,none,59,42,41,142,47.333333333333336
266,female,group C,bachelor's degree,standard,none,63,75,81,219,73.0
267,female,group D,high school,standard,none,69,72,77,218,72.66666666666667
268,female,group D,associate's degree,standard,completed,88,92,95,275,91.66666666666667
269,female,group E,some college,free/reduced,none,71,76,70,217,72.33333333333333
270,male,group C,bachelor's degree,standard,none,69,63,61,193,64.33333333333333
271,male,group C,some college,standard,none,58,49,42,149,49.666666666666664
272,female,group D,associate's degree,free/reduced,none,47,53,58,158,52.666666666666664
273,female,group D,some college,standard,none,65,70,71,206,68.66666666666667
274,male,group B,some college,standard,completed,88,85,76,249,83.0
275,male,group C,bachelor's degree,standard,none,83,78,73,234,78.0
276,female,group C,some high school,standard,completed,85,92,93,270,90.0
277,female,group E,high school,standard,completed,59,63,75,197,65.66666666666667
278,female,group C,some high school,free/reduced,none,65,86,80,231,77.0
279,male,group B,bachelor's degree,free/reduced,none,73,56,57,186,62.0
280,male,group D,high school,standard,none,53,52,42,147,49.0
281,male,group D,high school,standard,none,45,48,46,139,46.333333333333336
282,female,group D,bachelor's degree,free/reduced,none,73,79,84,236,78.66666666666667
283,female,group D,some college,free/reduced,completed,70,78,78,226,75.33333333333333
284,female,group B,some high school,standard,none,37,46,46,129,43.0
285,male,group B,associate's degree,standard,completed,81,82,82,245,81.66666666666667
286,male,group E,associate's degree,standard,completed,97,82,88,267,89.0
287,female,group B,some high school,standard,none,67,89,82,238,79.33333333333333
288,male,group B,bachelor's degree,free/reduced,none,88,75,76,239,79.66666666666667
289,male,group E,some high school,standard,completed,77,76,77,230,76.66666666666667
290,male,group C,associate's degree,standard,none,76,70,68,214,71.33333333333333
291,male,group D,some high school,standard,none,86,73,70,229,76.33333333333333
292,male,group C,some high school,standard,completed,63,60,57,180,60.0
293,female,group E,bachelor's degree,standard,none,65,73,75,213,71.0
294,male,group D,high school,free/reduced,completed,78,77,80,235,78.33333333333333
295,male,group B,associate's degree,free/reduced,none,67,62,60,189,63.0
296,male,group A,some high school,standard,completed,46,41,43,130,43.333333333333336
297,male,group E,associate's degree,standard,completed,71,74,68,213,71.0
298,male,group C,high school,free/reduced,completed,40,46,50,136,45.333333333333336
299,male,group D,associate's degree,free/reduced,none,90,87,75,252,84.0
300,male,group A,some college,free/reduced,completed,81,78,81,240,80.0
301,male,group D,some high school,free/reduced,none,56,54,52,162,54.0
302,female,group C,associate's degree,standard,completed,67,84,81,232,77.33333333333333
303,male,group B,associate's degree,standard,none,80,76,64,220,73.33333333333333
304,female,group C,associate's degree,standard,completed,74,75,83,232,77.33333333333333
305,male,group A,some college,standard,none,69,67,69,205,68.33333333333333
306,male,group E,some college,standard,completed,99,87,81,267,89.0
307,male,group C,some high school,standard,none,51,52,44,147,49.0
308,female,group B,associate's degree,free/reduced,none,53,71,67,191,63.666666666666664
309,female,group D,high school,free/reduced,none,49,57,52,158,52.666666666666664
310,female,group B,associate's degree,standard,none,73,76,80,229,76.33333333333333
311,male,group B,bachelor's degree,standard,none,66,60,57,183,61.0
312,male,group D,bachelor's degree,standard,completed,67,61,68,196,65.33333333333333
313,female,group C,associate's degree,free/reduced,completed,68,67,69,204,68.0
314,female,group C,bachelor's degree,standard,completed,59,64,75,198,66.0
315,male,group C,high school,standard,none,71,66,65,202,67.33333333333333
316,female,group D,master's degree,standard,completed,77,82,91,250,83.33333333333333
317,male,group C,associate's degree,standard,none,83,72,78,233,77.66666666666667
318,male,group B,bachelor's degree,standard,none,63,71,69,203,67.66666666666667
319,female,group D,associate's degree,free/reduced,none,56,65,63,184,61.333333333333336
320,female,group C,high school,free/reduced,completed,67,79,84,230,76.66666666666667
321,female,group E,high school,standard,none,75,86,79,240,80.0
322,female,group C,some college,standard,none,71,81,80,232,77.33333333333333
323,female,group C,some high school,free/reduced,none,43,53,53,149,49.666666666666664
324,female,group C,high school,free/reduced,none,41,46,43,130,43.333333333333336
325,female,group C,some college,standard,none,82,90,94,266,88.66666666666667
326,male,group C,some college,standard,none,61,61,62,184,61.333333333333336
327,male,group A,some college,free/reduced,none,28,23,19,70,23.333333333333332
328,male,group C,associate's degree,standard,completed,82,75,77,234,78.0
329,female,group B,some high school,standard,none,41,55,51,147,49.0
330,male,group C,high school,standard,none,71,60,61,192,64.0
331,male,group C,associate's degree,standard,none,47,37,35,119,39.666666666666664
332,male,group E,associate's degree,standard,completed,62,56,53,171,57.0
333,male,group B,associate's degree,standard,none,90,78,81,249,83.0
334,female,group C,bachelor's degree,standard,none,83,93,95,271,90.33333333333333
335,female,group B,some college,free/reduced,none,61,68,66,195,65.0
336,male,group D,some high school,standard,completed,76,70,69,215,71.66666666666667
337,male,group C,associate's degree,standard,none,49,51,43,143,47.666666666666664
338,female,group B,some high school,free/reduced,none,24,38,27,89,29.666666666666668
339,female,group D,some high school,free/reduced,completed,35,55,60,150,50.0
340,male,group C,high school,free/reduced,none,58,61,52,171,57.0
341,female,group C,high school,standard,none,61,73,63,197,65.66666666666667
342,female,group B,high school,standard,completed,69,76,74,219,73.0
343,male,group D,associate's degree,standard,completed,67,72,67,206,68.66666666666667
344,male,group D,some college,standard,none,79,73,67,219,73.0
345,female,group C,high school,standard,none,72,80,75,227,75.66666666666667
346,male,group B,some college,standard,none,62,61,57,180,60.0
347,female,group C,bachelor's degree,standard,completed,77,94,95,266,88.66666666666667
348,male,group D,high school,free/reduced,none,75,74,66,215,71.66666666666667
349,male,group E,associate's degree,standard,none,87,74,76,237,79.0
350,female,group B,bachelor's degree,standard,none,52,65,69,186,62.0
351,male,group E,some college,standard,none,66,57,52,175,58.333333333333336
352,female,group C,some college,standard,completed,63,78,80,221,73.66666666666667
353,female,group C,associate's degree,standard,none,46,58,57,161,53.666666666666664
354,female,group C,some college,standard,none,59,71,70,200,66.66666666666667
355,female,group B,bachelor's degree,standard,none,61,72,70,203,67.66666666666667
356,male,group A,associate's degree,standard,none,63,61,61,185,61.666666666666664
357,female,group C,some college,free/reduced,completed,42,66,69,177,59.0
358,male,group D,some college,free/reduced,none,59,62,61,182,60.666666666666664
359,female,group D,some college,standard,none,80,90,89,259,86.33333333333333
360,female,group B,high school,standard,none,58,62,59,179,59.666666666666664
361,male,group B,some high school,standard,completed,85,84,78,247,82.33333333333333
362,female,group C,some college,standard,none,52,58,58,168,56.0
363,female,group D,some high school,free/reduced,none,27,34,32,93,31.0
364,male,group C,some college,standard,none,59,60,58,177,59.0
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60,167,55.666666666666664
366,male,group C,high school,standard,completed,69,58,53,180,60.0
367,male,group C,bachelor's degree,free/reduced,none,61,66,61,188,62.666666666666664
368,female,group A,some high school,free/reduced,none,44,64,58,166,55.333333333333336
369,female,group D,some high school,standard,none,73,84,85,242,80.66666666666667
370,male,group E,some college,standard,none,84,77,71,232,77.33333333333333
371,female,group C,some college,free/reduced,completed,45,73,70,188,62.666666666666664
372,male,group D,some high school,standard,none,74,74,72,220,73.33333333333333
373,female,group D,some college,standard,completed,82,97,96,275,91.66666666666667
374,female,group D,bachelor's degree,standard,none,59,70,73,202,67.33333333333333
375,male,group E,associate's degree,free/reduced,none,46,43,41,130,43.333333333333336
376,female,group D,some high school,standard,none,80,90,82,252,84.0
377,female,group D,master's degree,free/reduced,completed,85,95,100,280,93.33333333333333
378,female,group A,some high school,standard,none,71,83,77,231,77.0
379,male,group A,bachelor's degree,standard,none,66,64,62,192,64.0
380,female,group B,associate's degree,standard,none,80,86,83,249,83.0
381,male,group C,associate's degree,standard,completed,87,100,95,282,94.0
382,male,group C,master's degree,free/reduced,none,79,81,71,231,77.0
383,female,group E,some high school,free/reduced,none,38,49,45,132,44.0
384,female,group A,some high school,free/reduced,none,38,43,43,124,41.333333333333336
385,female,group E,some college,standard,none,67,76,75,218,72.66666666666667
386,female,group E,bachelor's degree,standard,none,64,73,70,207,69.0
387,female,group C,associate's degree,free/reduced,none,57,78,67,202,67.33333333333333
388,female,group D,high school,standard,none,62,64,64,190,63.333333333333336
389,male,group D,master's degree,standard,none,73,70,75,218,72.66666666666667
390,male,group E,some high school,free/reduced,completed,73,67,59,199,66.33333333333333
391,female,group D,some college,standard,none,77,68,77,222,74.0
392,male,group E,some college,standard,none,76,67,67,210,70.0
393,male,group C,associate's degree,standard,completed,57,54,56,167,55.666666666666664
394,female,group C,some high school,standard,completed,65,74,77,216,72.0
395,male,group A,high school,free/reduced,none,48,45,41,134,44.666666666666664
396,female,group B,high school,free/reduced,none,50,67,63,180,60.0
397,female,group C,associate's degree,standard,none,85,89,95,269,89.66666666666667
398,male,group B,some high school,standard,none,74,63,57,194,64.66666666666667
399,male,group D,some high school,standard,none,60,59,54,173,57.666666666666664
400,female,group C,some high school,standard,completed,59,54,67,180,60.0
401,male,group A,some college,standard,none,53,43,43,139,46.333333333333336
402,female,group A,some college,free/reduced,none,49,65,55,169,56.333333333333336
403,female,group D,high school,standard,completed,88,99,100,287,95.66666666666667
404,female,group C,high school,standard,none,54,59,62,175,58.333333333333336
405,female,group C,some high school,standard,none,63,73,68,204,68.0
406,male,group B,associate's degree,standard,completed,65,65,63,193,64.33333333333333
407,female,group B,associate's degree,standard,none,82,80,77,239,79.66666666666667
408,female,group D,high school,free/reduced,completed,52,57,56,165,55.0
409,male,group D,associate's degree,standard,completed,87,84,85,256,85.33333333333333
410,female,group D,master's degree,standard,completed,70,71,74,215,71.66666666666667
411,male,group E,some college,standard,completed,84,83,78,245,81.66666666666667
412,male,group D,associate's degree,standard,none,71,66,60,197,65.66666666666667
413,male,group B,some high school,standard,completed,63,67,67,197,65.66666666666667
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79,202,67.33333333333333
415,male,group E,high school,standard,none,84,73,69,226,75.33333333333333
416,male,group C,bachelor's degree,standard,completed,71,74,68,213,71.0
417,male,group C,associate's degree,standard,none,74,73,67,214,71.33333333333333
418,male,group D,some college,standard,none,68,59,62,189,63.0
419,male,group E,high school,free/reduced,completed,57,56,54,167,55.666666666666664
420,female,group C,associate's degree,free/reduced,completed,82,93,93,268,89.33333333333333
421,female,group D,high school,standard,completed,57,58,64,179,59.666666666666664
422,female,group D,master's degree,free/reduced,completed,47,58,67,172,57.333333333333336
423,female,group A,some high school,standard,completed,59,85,80,224,74.66666666666667
424,male,group B,some college,free/reduced,none,41,39,34,114,38.0
